# RA Dec
3.220580443999999716e+02 4.995239999999999680e-01
3.167612609999999904e+02 3.114699999999999691e-01
3.198710021999999640e+02 -4.232830000000000203e-01
4.180878069999999980e+01 4.898649999999999394e-01
9.212157199999998269e+00 -3.735179999999999612e-01
3.110724182000000155e+02 -9.222129999999999495e-01
4.574216840000000417e+01 8.068800000000000416e-01
5.472415160000000611e+01 -3.926709999999999923e-01
3.585018005000000016e+02 8.095281999999999201e-01
4.898029710000000136e+01 -1.077584000000000097e+00
3.119454956000000152e+02 -9.473351999999999329e-01
9.885657300000000092e+00 -5.208589999999999609e-01
3.554143066000000317e+02 -4.707709999999999950e-01
1.078717900000000007e+01 1.205268000000000006e+00
1.739400669999999849e+01 8.056989999999999430e-01
1.611186790000000002e+01 -5.806329000000001184e-01
3.274830321999999683e+02 -1.097223000000000059e+00
3.523043823000000430e+02 -1.850880000000000025e-01
3.310969848999999954e+02 -3.839739999999999820e-01
1.221463869999999829e+01 7.887049999999999894e-01
3.479703978999999663e+02 -2.264150000000000051e-01
3.532294006000000195e+02 -6.600869999999999793e-01
4.019084550000000178e+01 3.976299999999999973e-02
2.740144919999999829e+01 -1.517479999999999940e-01
3.281342162999999914e+02 2.465280000000000249e-01
3.387095031999999719e+02 2.384719999999999895e-01
3.249909668000000238e+02 -4.404210000000000069e-01
3.215226134999999772e+02 6.350660000000000194e-01
3.371734923999999864e+02 3.716150000000000286e-01
3.578610840000000053e+02 -4.874919999999999809e-01
3.377577819999999633e+02 6.531521999999999606e-01
3.159594420999999898e+02 1.201145399999999919e+00
3.412644043000000238e+02 1.133879999999999999e+00
1.802151680000000056e+01 5.462190000000000101e-01
3.422947083000000248e+02 9.590011999999998871e-01
1.822801969999999727e+01 -4.248799999999999799e-02
1.278363899999999909e+01 1.546049999999999924e-01
3.246770020000000159e+02 -5.258399999999999741e-01
3.208363953000000492e+02 4.154340000000000255e-01
2.804825019999999824e+01 -1.243662999999999963e+00
4.859988020000000120e+01 -5.980739999999999945e-01
5.543583680000000413e+01 -7.276590000000000558e-01
3.537357178000000317e+02 -1.894500000000000073e-01
3.456832886000000258e+02 1.045483799999999963e+00
3.118834228999999709e+02 9.620261999999998315e-01
3.420136899999999702e+00 -4.724760000000000071e-01
3.329386901999999964e+02 -1.203486999999999973e+00
3.000081630000000033e+01 -1.026998999999999995e+00
3.355140991000000668e+02 1.256662999999999863e+00
3.591073913999999832e+02 7.724439999999999085e-01
7.877142000000000088e+00 3.328360000000000207e-01
4.113707349999999963e+01 7.721329000000000109e-01
3.287030944999999633e+02 -1.111527199999999826e+00
3.136570434999999861e+02 -6.045762000000000080e-01
3.203827819999999633e+02 7.171300000000000452e-01
2.020882800000000046e+01 9.118521999999998906e-01
1.924562069999999991e+01 4.498689999999999634e-01
3.589583590000000157e+01 2.170829999999999982e-01
1.826813699999999940e+01 5.837790000000000479e-01
3.215458983999999987e+02 7.709289999999999754e-01
3.111893921000000205e+02 -1.227485899999999797e+00
3.163274231000000327e+02 -9.030561999999999756e-01
3.364343872000000033e+02 -7.919498000000000371e-01
