# skymap_id,tract,patch,mjd,taiobs
98060405,9806,"4,5",57454.3827936989,2016-03-07 09:11:13.376000
98060405,9806,"4,5",57454.4141179393,2016-03-07 09:56:19.790000
98060800,9806,"8,0",57340.6034341743,2015-11-14 14:28:56.713000
98060601,9806,"6,1",57340.6398088438,2015-11-14 15:21:19.484000
98060504,9806,"5,4",57454.4141179393,2016-03-07 09:56:19.790000
98060800,9806,"8,0",57340.5835234988,2015-11-14 14:00:16.430000
98060503,9806,"5,3",57454.3827936989,2016-03-07 09:11:13.376000
98060703,9806,"7,3",57340.6098160166,2015-11-14 14:38:08.104000
98060601,9806,"6,1",57454.3806840479,2016-03-07 09:08:11.102000
98050501,9805,"5,1",57340.6249900879,2015-11-14 14:59:59.144000
98060208,9806,"2,8",57454.3441314571,2016-03-07 08:15:32.958000
98060306,9806,"3,6",57340.5920650032,2015-11-14 14:12:34.416000
98060502,9806,"5,2",57340.6098160166,2015-11-14 14:38:08.104000
98060703,9806,"7,3",57340.6034341743,2015-11-14 14:28:56.713000
98060703,9806,"7,3",57340.6419334873,2015-11-14 15:24:23.053000
98060305,9806,"3,5",57340.5920650032,2015-11-14 14:12:34.416000
98060305,9806,"3,5",57454.3827936989,2016-03-07 09:11:13.376000
